Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,123.529999,133.360001,120.279999,124.639999,124.639999,25444300
2020-02-01,125.239998,128.050003,105.269997,107.480003,107.480003,50570500
2020-03-01,108.580002,120.699997,100.000000,118.610001,118.610001,60614200
2020-04-01,115.519997,129.339996,114.660004,121.050003,121.050003,45607900
2020-05-01,119.220001,149.279999,119.220001,136.169998,136.169998,57358600
2020-06-01,135.619995,145.419998,124.860001,139.570007,139.570007,46963300
2020-07-01,138.399994,164.110001,137.500000,164.020004,164.020004,28158000
2020-08-01,165.639999,180.610001,164.250000,171.190002,171.190002,29202400
2020-09-01,171.779999,174.160004,151.630005,165.220001,165.220001,25795800
2020-10-01,166.479996,172.000000,153.940002,154.919998,154.919998,24083100
2020-11-01,156.839996,181.710007,151.000000,180.509995,180.509995,31873900
2020-12-01,181.500000,209.259995,175.250000,207.789993,207.789993,34147400
2021-01-01,208.669998,211.440002,191.809998,200.449997,200.449997,22817900
2021-02-01,201.789993,214.910004,181.110001,184.460007,184.460007,31827600
2021-03-01,186.000000,190.809998,161.330002,176.699997,176.699997,32596300
2021-04-01,177.729996,186.210007,173.320007,175.380005,175.380005,20942100
2021-05-01,175.300003,188.360001,161.699997,185.559998,185.559998,29242100
2021-06-01,186.830002,187.899994,168.679993,177.020004,177.020004,30448300
2021-07-01,177.529999,180.970001,164.630005,173.419998,173.419998,22406700
2021-08-01,175.669998,176.820007,155.399994,161.220001,161.220001,32995200
2021-09-01,162.350006,163.690002,144.580002,154.070007,154.070007,25564100
2021-10-01,154.380005,187.130005,151.860001,181.000000,181.000000,25789900
2021-11-01,181.509995,195.830002,162.210007,165.880005,165.880005,30745200
2021-12-01,165.800003,181.820007,159.500000,177.720001,177.720001,21151700
2022-01-01,176.839996,182.250000,138.190002,163.339996,163.339996,65790400
2022-02-01,163.960007,178.500000,153.970001,162.000000,162.000000,39913600
2022-03-01,163.350006,164.000000,133.539993,153.740005,153.740005,41983200
2022-04-01,153.789993,157.089996,119.120003,119.510002,119.510002,37946200
2022-05-01,120.220001,128.039993,101.849998,124.529999,124.529999,96899800
2022-06-01,125.860001,134.820007,120.480003,122.529999,122.529999,49016000
2022-07-01,122.779999,133.789993,118.559998,132.729996,132.729996,32211300
2022-08-01,132.289993,137.429993,118.029999,122.559998,122.559998,52665900
2022-09-01,121.010002,130.860001,106.540001,109.000000,109.000000,37726300
2022-10-01,109.730003,127.080002,108.800003,118.480003,118.480003,31770300
2022-11-01,120.440002,122.739998,90.000000,105.690002,105.690002,68610800
2022-12-01,106.209999,109.800003,97.209999,104.129997,104.129997,40629300
2023-01-01,105.260002,115.339996,101.529999,113.230003,113.230003,31569100
2023-02-01,111.250000,116.029999,104.129997,109.550003,109.550003,42191400
2023-03-01,109.910004,120.040001,108.389999,119.300003,119.300003,36150300
2023-04-01,118.779999,128.300003,117.349998,124.290001,124.290001,27068200
2023-05-01,124.000000,141.960007,119.570000,137.729996,137.729996,48537400
2023-06-01,137.449997,149.039993,131.509995,147.160004,147.160004,32408300
2023-07-01,146.630005,153.839996,142.339996,152.940002,152.940002,23588000
2023-08-01,152.199997,153.750000,135.979996,142.199997,142.199997,32376400
2023-09-01,142.750000,146.229996,135.729996,140.389999,140.389999,21298500
2023-10-01,140.490005,148.960007,130.339996,133.750000,133.750000,30128900
2023-11-01,133.929993,158.839996,132.169998,158.199997,158.199997,42422000
2023-12-01,158.690002,164.850006,152.100006,160.949997,160.949997,52790600
2024-01-01,160.139999,169.559998,156.660004,164.929993,164.929993,23748600
2024-02-01,164.570007,171.589996,145.610001,146.929993,146.929993,39739400
2024-03-01,146.490005,153.240005,141.449997,148.490005,148.490005,40597800
