Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,123.529999,126.470001,120.279999,125.510002,125.510002,4701300
2020-01-08,125.959999,129.550003,124.559998,126.930000,126.930000,6164900
2020-01-15,127.089996,130.979996,126.050003,130.389999,130.389999,4980900
2020-01-22,131.449997,133.360001,121.550003,125.970001,125.970001,6142600
2020-01-29,126.980003,127.739998,123.849998,126.930000,126.930000,6227200
2020-02-05,122.449997,128.050003,109.089996,112.389999,112.389999,21625500
2020-02-12,112.529999,115.279999,111.150002,113.430000,113.430000,8225200
2020-02-19,114.099998,116.580002,110.589996,110.970001,110.970001,9497800
2020-02-26,111.230003,115.040001,105.269997,111.220001,111.220001,12844800
2020-03-04,113.440002,119.790001,109.169998,118.750000,118.750000,12152400
2020-03-11,116.440002,119.830002,104.949997,116.470001,116.470001,14311600
2020-03-18,111.650002,120.500000,100.000000,112.220001,112.220001,16116400
2020-03-25,111.860001,120.699997,108.000000,118.610001,118.610001,13638400
2020-04-01,115.519997,123.910004,114.660004,120.059998,120.059998,10655800
2020-04-08,121.110001,125.669998,117.269997,122.779999,122.779999,8497900
2020-04-15,122.489998,128.080002,121.000000,125.730003,125.730003,16299500
2020-04-22,126.690002,129.339996,120.419998,120.510002,120.510002,7452100
2020-04-29,120.550003,126.790001,118.010002,125.279999,125.279999,7236700
2020-05-06,126.570000,135.020004,125.610001,131.619995,131.619995,7674500
2020-05-13,132.199997,143.220001,128.559998,142.240005,142.240005,10351700
2020-05-20,143.839996,149.279999,129.809998,130.199997,130.199997,22626000
2020-05-27,130.440002,137.229996,126.559998,134.600006,134.600006,15906300
2020-06-03,134.000000,136.949997,124.860001,134.410004,134.410004,13698100
2020-06-10,135.699997,139.419998,130.990005,135.669998,135.669998,10159100
2020-06-17,136.160004,145.419998,136.160004,143.369995,143.369995,8882100
2020-06-24,142.869995,143.440002,136.809998,139.570007,139.570007,10490000
2020-07-01,138.399994,149.869995,137.500000,147.270004,147.270004,7605600
2020-07-08,148.740005,155.990005,144.139999,151.050003,151.050003,6977800
2020-07-15,150.020004,156.320007,147.949997,153.059998,153.059998,5038700
2020-07-22,153.580002,160.259995,148.880005,156.410004,156.410004,5132100
2020-07-29,157.559998,180.610001,155.919998,177.520004,177.520004,11574300
2020-08-05,175.619995,177.889999,165.339996,167.110001,167.110001,6921400
2020-08-12,167.020004,177.529999,166.139999,176.979996,176.979996,4574400
2020-08-19,175.839996,176.860001,170.559998,173.020004,173.020004,5275100
2020-08-26,173.300003,175.600006,169.570007,172.500000,172.500000,5174400
2020-09-02,172.960007,174.160004,153.300003,156.220001,156.220001,6481600
2020-09-09,159.660004,161.410004,151.630005,160.589996,160.589996,5864600
2020-09-16,160.860001,166.860001,153.589996,166.220001,166.220001,6817300
2020-09-23,165.580002,167.949997,160.270004,164.339996,164.339996,4789800
2020-09-30,164.789993,168.029999,157.820007,162.199997,162.199997,5150300
2020-10-07,162.559998,170.119995,159.070007,169.160004,169.160004,5655300
2020-10-14,170.410004,172.000000,164.029999,164.440002,164.440002,6057300
2020-10-21,165.750000,167.889999,159.479996,167.360001,167.360001,4367900
2020-10-28,165.979996,166.759995,151.000000,158.880005,158.880005,6071700
2020-11-04,161.630005,179.460007,152.880005,154.889999,154.889999,12835600
2020-11-11,157.210007,164.949997,156.509995,162.199997,162.199997,6087400
2020-11-18,161.880005,172.529999,159.550003,169.830002,169.830002,6489300
2020-11-25,170.550003,181.710007,170.550003,180.059998,180.059998,5322500
2020-12-02,178.949997,186.729996,177.789993,183.600006,183.600006,5901000
2020-12-09,181.250000,203.690002,181.000000,194.699997,194.699997,10499600
2020-12-16,194.539993,205.839996,191.759995,201.860001,201.860001,12020800
2020-12-23,202.800003,204.860001,199.929993,202.449997,202.449997,2406800
2020-12-30,203.979996,209.259995,199.039993,204.740005,204.740005,4895900
2021-01-06,202.449997,211.440002,198.860001,199.149994,199.149994,5420800
